"date","Mkt.RF","SMB","HML","RF"
2010-08-05,-0.22,-0.86,0.14,0.001
2010-08-06,-0.36,-0.16,-0.37,0.001
2010-08-09,0.62,0.62,0.08,0.001
2010-08-10,-0.79,-1.23,-0.23,0.001
2010-08-11,-2.91,-1.08,-0.64,0.001
2010-08-12,-0.5,-0.06,-0.06,0.001
2010-08-13,-0.47,-0.79,0.24,0.001
2010-08-16,0.1,0.93,-0.18,0.001
2010-08-17,1.31,0.58,-0.26,0.001
2010-08-18,0.21,0.07,0.08,0.001
2010-08-19,-1.74,-0.83,-0.41,0.001
2010-08-20,-0.28,0.28,-0.22,0.001
2010-08-23,-0.5,-0.94,-0.41,0.001
2010-08-24,-1.48,0.14,0.16,0.001
2010-08-25,0.45,1.05,0,0.001
2010-08-26,-0.76,-0.07,-0.25,0.001
2010-08-27,1.82,0.95,0.37,0.001
2010-08-30,-1.54,-0.85,-0.42,0.001
2010-08-31,0.01,-0.26,0.81,0.001
2010-09-01,3.05,0.63,0.47,0.001
2010-09-02,0.97,0.26,-0.36,0.001
2010-09-03,1.35,0.35,0.22,0.001
2010-09-07,-1.23,-0.79,-0.77,0.001
2010-09-08,0.65,0.04,0.17,0.001
2010-09-09,0.44,-0.5,0.56,0.001
2010-09-10,0.45,-0.09,-0.16,0.001
2010-09-13,1.3,1.13,0.23,0.001
2010-09-14,-0.06,-0.23,-0.52,0.001
2010-09-15,0.36,0.11,-0.18,0.001
2010-09-16,-0.07,-0.52,-0.67,0.001
2010-09-17,0.15,0.62,-0.6,0.001
2010-09-20,1.6,1.14,0.23,0.001
2010-09-21,-0.31,-0.28,-0.3,0.001
2010-09-22,-0.52,-0.56,-0.6,0.001
2010-09-23,-0.78,-0.06,-0.69,0.001
2010-09-24,2.19,0.99,0.51,0.001
2010-09-27,-0.46,0.2,-0.49,0.001
2010-09-28,0.58,0.52,0.1,0.001
2010-09-29,-0.17,0.66,-0.25,0.001
2010-09-30,-0.26,0.05,0.29,0.001
2010-10-01,0.43,-0.06,0.21,0.001
2010-10-04,-0.88,-0.71,-0.04,0.001
2010-10-05,2.11,0.78,0.16,0.001
2010-10-06,-0.1,-0.38,0.46,0.001
2010-10-07,-0.16,0.05,-0.29,0.001
2010-10-08,0.74,0.96,-0.19,0.001
2010-10-11,0.04,0.05,-0.2,0.001
2010-10-12,0.39,-0.06,0.24,0.001
2010-10-13,0.78,0.9,-0.34,0.001
2010-10-14,-0.38,0.42,-0.39,0.001
2010-10-15,0.18,-0.07,-1.29,0.001
2010-10-18,0.69,0.06,0.91,0.001
2010-10-19,-1.67,-0.7,0.26,0.001
2010-10-20,1.06,0.06,0.09,0.001
2010-10-21,0.11,-0.52,-0.5,0.001
2010-10-22,0.29,0.45,-0.42,0.001
2010-10-25,0.31,0.49,-0.52,0.001
2010-10-26,0.02,-0.01,-0.18,0.001
2010-10-27,-0.24,-0.19,-0.24,0.001
2010-10-28,0.08,-0.62,-0.08,0.001
2010-10-29,0.07,0.35,-0.12,0.001
2010-11-01,-0.01,-0.64,-0.21,0.001
2010-11-02,0.9,1.35,-0.22,0.001
2010-11-03,0.38,-0.07,0.2,0.001
2010-11-04,1.94,0.47,1.06,0.001
2010-11-05,0.41,-0.11,0.64,0.001
2010-11-08,-0.12,0.45,-0.49,0.001
2010-11-09,-0.78,-0.4,-0.47,0.001
