Macrotrends Data Download

DAX 30 Index - 27 Year Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1991-09-06,1646.2000
1991-09-09,1633.1000
1991-09-10,1629.1000
1991-09-11,1628.2000
1991-09-12,1631.3000
1991-09-13,1637.6000
1991-09-16,1629.8000
1991-09-17,1634.6000
1991-09-18,1628.1000
1991-09-19,1620.7000
1991-09-20,1616.1000
1991-09-23,1614.2000
1991-09-24,1626.6000
1991-09-25,1625.4000
1991-09-26,1620.0000
1991-09-27,1608.1000
1991-09-30,1607.0000
1991-10-01,1609.6000
1991-10-02,1607.3000
1991-10-04,1601.7000
1991-10-07,1588.7000
1991-10-08,1578.7000
1991-10-09,1567.2000
1991-10-10,1568.0000
1991-10-11,1568.4000
1991-10-14,1571.0000
1991-10-15,1585.0000
1991-10-16,1570.1000
1991-10-17,1564.5000
1991-10-18,1563.3000
1991-10-21,1572.7000
1991-10-22,1580.7000
1991-10-23,1587.9000
1991-10-24,1579.0000
1991-10-25,1572.0000
1991-10-28,1576.8000
1991-10-29,1590.8000
1991-10-30,1582.8000
1991-10-31,1582.1000
1991-11-01,1573.6000
1991-11-04,1573.6000
1991-11-05,1576.1000
1991-11-06,1574.2000
1991-11-07,1578.4000
1991-11-08,1606.2000
1991-11-11,1609.0000
1991-11-12,1621.2000
1991-11-13,1623.2000
1991-11-14,1621.0000
1991-11-15,1629.4000
1991-11-18,1611.9000
1991-11-19,1599.1000
1991-11-21,1598.1000
1991-11-22,1600.3000
1991-11-25,1589.2000
1991-11-26,1602.9000
1991-11-27,1586.2000
1991-11-28,1588.2000
1991-11-29,1566.6000
1991-12-02,1545.4000
1991-12-03,1546.8000
1991-12-04,1561.0000
1991-12-05,1553.4000
1991-12-06,1558.2000
1991-12-09,1559.1000
1991-12-10,1551.1000
1991-12-11,1543.6000
1991-12-12,1546.4000
1991-12-13,1558.3000
1991-12-16,1552.9000
1991-12-17,1560.9000
1991-12-18,1573.8000
1991-12-19,1561.8000
1991-12-20,1543.2000
1991-12-23,1539.6000
1991-12-27,1563.6000
1991-12-30,1578.0000
1992-01-02,1601.9000
1992-01-03,1603.6000
1992-01-06,1603.3000
1992-01-07,1592.5000
