"","date","w_t0","w_t1","w_t2","w_t3","w_t4","w_t5","w_t6","w_ge_t7"
"122",2018-05-31,0,0,0,0,1,0,0,0
"123",2018-06-01,0,0,0,0,1,0,0,0
"124",2018-06-02,0,0,0,0,1,0,0,0
"125",2018-06-03,0,0,0,0,1,0,0,0
"126",2018-06-04,0,0,0,0,1,0,0,0
"127",2018-06-05,0,0,0,0,0,1,0,0
"128",2018-06-06,0,0,0,0,0,1,0,0
"129",2018-06-07,0,0,0,0,0,1,0,0
"130",2018-06-08,0,0,0,0,0,1,0,0
"131",2018-06-09,0,0,0,0,0,1,0,0
"132",2018-06-10,0,0,0,0,0,1,0,0
"133",2018-06-11,0,0,0,0,0,1,0,0
"134",2018-06-12,1,0,0,0,0,0,0,0
"135",2018-06-13,1,0,0,0,0,0,0,0
"136",2018-06-14,1,0,0,0,0,0,0,0
"137",2018-06-15,1,0,0,0,0,0,0,0
"138",2018-06-16,1,0,0,0,0,0,0,0
"139",2018-06-17,1,0,0,0,0,0,0,0
"140",2018-06-18,1,0,0,0,0,0,0,0
"141",2018-06-19,0,1,0,0,0,0,0,0
"142",2018-06-20,0,1,0,0,0,0,0,0
"143",2018-06-21,0,1,0,0,0,0,0,0
"144",2018-06-22,0,1,0,0,0,0,0,0
"145",2018-06-23,0,1,0,0,0,0,0,0
"146",2018-06-24,0,1,0,0,0,0,0,0
"147",2018-06-25,0,1,0,0,0,0,0,0
"148",2018-06-26,0,0,1,0,0,0,0,0
"149",2018-06-27,0,0,1,0,0,0,0,0
"150",2018-06-28,0,0,1,0,0,0,0,0
"151",2018-06-29,0,0,1,0,0,0,0,0
"152",2018-06-30,0,0,1,0,0,0,0,0
"153",2018-07-01,0,0,1,0,0,0,0,0
"154",2018-07-02,0,0,1,0,0,0,0,0
"155",2018-07-03,0,0,0,1,0,0,0,0
"156",2018-07-04,0,0,0,1,0,0,0,0
"157",2018-07-05,0,0,0,1,0,0,0,0
"158",2018-07-06,0,0,0,1,0,0,0,0
"159",2018-07-07,0,0,0,1,0,0,0,0
"160",2018-07-08,0,0,0,1,0,0,0,0
"161",2018-07-09,0,0,0,1,0,0,0,0
"162",2018-07-10,0,0,0,0,1,0,0,0
"163",2018-07-11,0,0,0,0,1,0,0,0
"164",2018-07-12,0,0,0,0,1,0,0,0
"165",2018-07-13,0,0,0,0,1,0,0,0
"166",2018-07-14,0,0,0,0,1,0,0,0
"167",2018-07-15,0,0,0,0,1,0,0,0
"168",2018-07-16,0,0,0,0,1,0,0,0
"169",2018-07-17,0,0,0,0,0,1,0,0
"170",2018-07-18,0,0,0,0,0,1,0,0
"171",2018-07-19,0,0,0,0,0,1,0,0
"172",2018-07-20,0,0,0,0,0,1,0,0
"173",2018-07-21,0,0,0,0,0,1,0,0
"174",2018-07-22,0,0,0,0,0,1,0,0
"175",2018-07-23,0,0,0,0,0,1,0,0
"176",2018-07-24,0,0,0,0,0,0,1,0
"177",2018-07-25,0,0,0,0,0,0,1,0
"178",2018-07-26,0,0,0,0,0,0,1,0
"179",2018-07-27,0,0,0,0,0,0,1,0
"180",2018-07-28,0,0,0,0,0,0,1,0
"181",2018-07-29,0,0,0,0,0,0,1,0
"182",2018-07-30,0,0,0,0,0,0,1,0
"183",2018-07-31,0,0,0,0,0,0,0,1
"184",2018-08-01,0,0,0,0,0,0,0,1
"185",2018-08-02,0,0,0,0,0,0,0,1
"186",2018-08-03,0,0,0,0,0,0,0,1
"187",2018-08-04,0,0,0,0,0,0,0,1
"188",2018-08-05,0,0,0,0,0,0,0,1
